purchase_date,item_name,customer_name,purchase_month,item_price,고객이름,지역,등록일
2019-06-13 18:02:00,상품A,김가온,201906,100.0,김가온,C시,2017-01-26
2019-06-14 09:08:00,상품A,김가온,201906,100.0,김가온,C시,2017-01-26
2019-01-30 06:49:00,상품J,김가온,201901,1000.0,김가온,C시,2017-01-26
2019-07-30 09:17:00,상품X,김가온,201907,2400.0,김가온,C시,2017-01-26
2019-04-07 09:37:00,상품A,김가온,201904,100.0,김가온,C시,2017-01-26
2019-02-25 09:28:00,상품M,김가온,201902,1300.0,김가온,C시,2017-01-26
2019-06-24 15:49:00,상품U,김가온,201906,2100.0,김가온,C시,2017-01-26
2019-03-20 04:25:00,상품W,김가온,201903,2300.0,김가온,C시,2017-01-26
2019-03-01 09:20:00,상품O,김가온,201903,1500.0,김가온,C시,2017-01-26
2019-06-23 10:24:00,상품T,김가온,201906,2000.0,김가온,C시,2017-01-26
2019-07-20 23:32:00,상품T,김가온,201907,2000.0,김가온,C시,2017-01-26
2019-03-23 07:25:00,상품C,김가온,201903,300.0,김가온,C시,2017-01-26
2019-06-07 15:09:00,상품X,김가온,201906,2400.0,김가온,C시,2017-01-26
2019-07-28 19:37:00,상품N,김가온,201907,1400.0,김가온,C시,2017-01-26
2019-02-02 01:34:00,상품I,김가온,201902,900.0,김가온,C시,2017-01-26
2019-02-23 01:20:00,상품C,김가온,201902,300.0,김가온,C시,2017-01-26
2019-03-28 16:43:00,상품U,김가온,201903,2100.0,김가온,C시,2017-01-26
2019-07-13 13:05:00,상품S,김우찬,201907,1900.0,김우찬,C시,2018-04-07
2019-04-18 01:50:00,상품Q,김우찬,201904,1700.0,김우찬,C시,2018-04-07
2019-05-26 08:36:00,상품U,김우찬,201905,2100.0,김우찬,C시,2018-04-07
2019-01-16 22:41:00,상품F,김우찬,201901,600.0,김우찬,C시,2018-04-07
2019-04-26 02:58:00,상품H,김우찬,201904,800.0,김우찬,C시,2018-04-07
2019-05-21 04:48:00,상품P,김우찬,201905,1600.0,김우찬,C시,2018-04-07
2019-02-11 17:50:00,상품F,김우찬,201902,600.0,김우찬,C시,2018-04-07
2019-03-31 09:41:00,상품D,김우찬,201903,400.0,김우찬,C시,2018-04-07
2019-06-26 09:45:00,상품J,김우찬,201906,1000.0,김우찬,C시,2018-04-07
2019-04-08 08:09:00,상품Y,김우찬,201904,2500.0,김우찬,C시,2018-04-07
2019-01-17 12:44:00,상품M,김우찬,201901,1300.0,김우찬,C시,2018-04-07
2019-06-13 05:05:00,상품H,김우찬,201906,800.0,김우찬,C시,2018-04-07
2019-03-09 14:20:00,상품A,김우찬,201903,100.0,김우찬,C시,2018-04-07
2019-02-10 15:05:00,상품V,김우찬,201902,2200.0,김우찬,C시,2018-04-07
